"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000131469",8360.86352081858,-1.05930703016936,0.131811472314592,-8.03653135473011,9.24173086448418e-16,5.94686550016511e-14,"RPL27"
"ENSG00000113088",1040.39998071931,-2.1462938847785,0.267623976920472,-8.0198116382386,1.05907444861841e-15,6.74955265792844e-14,"GZMK"
"ENSG00000169884",39.5886025314464,-1.59617428350411,0.203853175066444,-7.83001924293723,4.87795301677575e-15,2.80475466597635e-13,"WNT10B"
"ENSG00000168028",21502.7851109766,-1.08845296449122,0.139057909273835,-7.82733589319121,4.98316453850917e-15,2.85724632631223e-13,"RPSA"
"ENSG00000135469",181.841238817461,-1.15120325359508,0.147210725895808,-7.82010445631435,5.27795219826112e-15,3.00945902149183e-13,"COQ10A"
"ENSG00000282739",291.939509335477,-1.00369306949857,0.128367567850318,-7.81889916827684,5.32872714001004e-15,3.02999396130155e-13,"SLC25A26"
"ENSG00000167074",260.247764225359,-1.37472620045954,0.176339361185098,-7.79591233188452,6.39447720399899e-15,3.57655132333753e-13,"TEF"
"ENSG00000063177",11344.3551150662,-1.01653530603073,0.130440404473039,-7.79310145608171,6.53840790807724e-15,3.63723303872904e-13,"RPL18"
"ENSG00000283060",198.050055210125,-1.98705473930845,0.256794621794393,-7.73791415654889,1.01061041519775e-14,5.48804232612809e-13,"ID3"
"ENSG00000137040",664.432328553939,-1.00026897986152,0.129490870794137,-7.72462934048642,1.12179284975662e-14,6.05974784919845e-13,"RANBP6"
"ENSG00000157445",119.980654572284,-3.21817591726595,0.417556977281201,-7.70715397505785,1.28654542729755e-14,6.87732239222314e-13,"CACNA2D3"
"ENSG00000083845",6978.94866908317,-1.0872699597891,0.141316544441993,-7.69386177734761,1.42759276083598e-14,7.49467943776985e-13,"RPS5"
"ENSG00000213741",3413.61526111339,-1.20993774117588,0.157537378657095,-7.68032165756361,1.58689626929092e-14,8.14355492993366e-13,"RPS29"
"ENSG00000170846",455.51980418045,-1.15632894418776,0.151617361822196,-7.6266262009215,2.40977016558303e-14,1.20061534439133e-12,"LOC93622"
"ENSG00000139266",455.486973501243,-1.01287092095209,0.133643234032847,-7.57891657053995,3.48452480320751e-14,1.70302001512954e-12,"MARCHF9"
"ENSG00000244398",5544.93175695688,-1.03301915730648,0.13699828982901,-7.54037994631761,4.68604130874942e-14,2.2527018722412e-12,"RPL36AP37"
"ENSG00000172215",273.388112892802,-1.93866476338991,0.258110172314887,-7.51099712964741,5.86786792610371e-14,2.80115639346816e-12,"CXCR6"
"ENSG00000240137",24.687510060865,-1.28903953241698,0.172305103389311,-7.48114540464009,7.36776037217847e-14,3.44505733848992e-12,"ERICH6-AS1"
"ENSG00000126368",238.938132673722,-1.23610049877994,0.165687320663604,-7.4604411117831,8.62332903319825e-14,3.95114006840314e-12,"NR1D1"
"ENSG00000123349",6283.67326986042,-1.05588099339736,0.141947915322083,-7.43851004082407,1.01827237149557e-13,4.60398171138535e-12,"PFDN5"
